quarter_start_date,Case Rejected For Emergency Assistance,Excess Earned income,Excess Unearned Income Ineligible Budget Required,Failure to Keep/Complete Interview: No Schedule Appointment,Failure to Provide Verification,Ineligible Alien,Other code,"PA, FS "
2020-01-01,15.575135285139446,7.888164284723185,3.8157347023726933,4.84598307201332,7.475371166921049,0.37463577077840987,13.736644928541697,1.4256972387956153
2020-04-01,8.7658694360712,6.966049858082686,19.699003278399964,30.033664107021057,6.64921120376686,0.7700939514620784,6.316970670421791,5.656890140597153
2020-07-01,11.064459695868658,5.94805544341273,26.596689543802988,23.251244785358633,8.817117480823578,0.7482169290808774,4.082895976315435,6.1229982505719285
2020-10-01,10.367872840026491,4.756457342404721,24.077307483894277,26.646195837598093,11.07231019326871,0.4736387902141409,4.8026170550103355,5.68165853854336
2021-01-01,9.384414255669869,5.382822713579265,23.480929915307225,26.502965194490237,11.860777960931431,0.5229352583413858,5.284298679399003,5.291877451259023
2021-04-01,18.177268404984737,6.606275962164056,19.898903958760823,20.011510935388618,8.34542815674891,0.6631299734748011,6.576247435063311,5.535258495570792
2021-07-01,18.26164728839743,8.905873106214598,22.118329403474537,24.731007941025016,5.100685692603735,0.9377456161747568,3.5097704420413587,5.6264736970485405
2021-10-01,13.021554709141276,12.17321675900277,11.796658587257618,31.483725761772853,6.444771468144045,1.1188538781163435,4.672351108033241,6.602752770083102
2022-01-01,19.408770626913256,10.484177731084825,8.024344738891807,32.0828880395602,6.443023529624867,0.7336026228557972,5.930407375876247,5.653268607241835
2022-04-01,16.552428462006795,10.183239389594831,6.905355775084942,34.48160732171966,11.497142408233007,0.8739713651629122,3.1345130310112537,6.259206159043148
2022-07-01,13.074849349825563,10.462258166825245,6.0002378686964795,37.157072629241995,9.94291151284491,1.8811449413257213,3.619568664763717,7.76244846178243
2022-10-01,11.05701031323084,8.47678564582295,4.8863244258712575,37.22156193689376,8.29850860713875,2.810259556032665,3.377678947973776,11.124103822413066
2023-01-01,12.408031106806783,9.12389239820182,5.417672482328963,33.045200271750915,9.991182550122144,4.574955551379714,3.6556279903441693,10.076466081727641
2023-04-01,11.566609572073666,10.112820803193523,5.827895191314072,32.68547485242699,12.682077488215393,4.242458559234461,3.400195348442167,9.063884602862279
2023-07-01,10.652744254381362,7.930527862315039,4.9753384405499,45.47066848567531,11.376849616958758,3.128345051946689,2.0295938713401194,7.598908594815826
